time,X,Y,Z,
1.2325, 0.0549966, -0.000221849, -0.76161,
1.235, 0.0549964, -0.000222026, -0.76161,
1.2375, 0.0549962, -0.000222203, -0.76161,
1.24, 0.0549959, -0.000222378, -0.76161,
1.2425, 0.0549957, -0.000222552, -0.76161,
1.245, 0.0549955, -0.000222725, -0.76161,
1.2475, 0.0549952, -0.000222897, -0.76161,
1.25, 0.054995, -0.000223067, -0.76161,
1.2525, 0.0549948, -0.000223236, -0.76161,
1.255, 0.0549945, -0.000223404, -0.76161,
1.2575, 0.0549943, -0.000223571, -0.76161,
1.26, 0.0549941, -0.000223737, -0.76161,
1.2625, 0.0549938, -0.000223902, -0.76161,
1.265, 0.0549936, -0.000224065, -0.76161,
1.2675, 0.0549934, -0.000224228, -0.76161,
1.27, 0.0549931, -0.000224389, -0.761611,
1.2725, 0.0549929, -0.000224549, -0.761611,
1.275, 0.0549927, -0.000224708, -0.761611,
1.2775, 0.0549924, -0.000224866, -0.761611,
1.28, 0.0549922, -0.000225023, -0.761611,
1.2825, 0.0549919, -0.000225179, -0.761611,
1.285, 0.0549917, -0.000225334, -0.761611,
1.2875, 0.0549915, -0.000225488, -0.761611,
1.29, 0.0549912, -0.00022564, -0.761611,
1.2925, 0.054991, -0.000225792, -0.761611,
1.295, 0.0549908, -0.000225943, -0.761611,
1.2975, 0.0549905, -0.000226092, -0.761611,
1.3, 0.0549903, -0.000226241, -0.761611,
1.3025, 0.0549901, -0.000226388, -0.761611,
1.305, 0.0549898, -0.000226535, -0.761611,
1.3075, 0.0549896, -0.00022668, -0.761611,
